Observation id,06032021-F4,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,,,,,,,
,,,,,,,,
Observation date,2021-11-11 13:21:22,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
225.926,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch left,,,START
226.193,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,STOP
226.193,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch left,,,STOP
228.061,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,START
229.496,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,STOP
237.871,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,START
238.272,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,STOP
247.347,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,START
248.282,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Nose Poke right,,,START
248.682,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Nose Poke right,,,STOP
248.916,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch right,,,START
252.119,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch right,,,STOP
252.352,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,STOP
255.856,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,START
256.823,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,STOP
258.458,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,START
259.193,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,STOP
263.730,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,START
267.100,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch left,,,START
270.470,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,STOP
270.637,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch left,,,STOP
284.685,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,START
284.952,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,STOP
286.086,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,START
287.721,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,STOP
289.823,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,START
290.023,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,STOP
297.865,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,START
298.165,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Nose Poke left,,,START
308.342,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Nose Poke left,,,STOP
308.375,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch left,,,START
310.177,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch left,,,STOP
310.244,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,STOP
317.718,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,START
321.522,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,STOP
322.389,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,START
325.526,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,STOP
334.968,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,START
335.702,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Nose Poke left,,,START
335.836,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Nose Poke left,,,STOP
336.937,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Nose Poke left,,,START
338.472,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Nose Poke left,,,STOP
338.906,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch left,,,START
339.072,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,STOP
339.273,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch left,,,STOP
340.674,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,START
340.774,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch left,,,START
341.308,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch left,,,STOP
341.475,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,STOP
343.010,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,START
343.677,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch right,,,START
343.944,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Nose Poke right,,,START
345.345,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Nose Poke right,,,STOP
346.280,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch right,,,STOP
346.446,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Nose Poke right,,,START
347.214,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Nose Poke right,,,STOP
347.481,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,STOP
352.853,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,START
353.420,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch left,,,START
355.689,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch left,,,STOP
355.822,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,STOP
356.123,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,START
356.223,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch left,,,START
356.957,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Nose Poke left,,,START
357.758,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Nose Poke left,,,STOP
359.159,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Nose Poke left,,,START
359.493,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Nose Poke left,,,STOP
360.761,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to left side,,,STOP
360.761,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch left,,,STOP
361.562,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,START
363.397,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,STOP
369.503,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,START
369.937,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Attend to right side,,,STOP
370.404,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch left,,,START
370.537,C:/Users/megwa/Desktop/Videos-FPlaybackData/06032021/Playback_F4.MP4,603.600,29.97,,Wall Touch left,,,STOP
