Observation id,0626-F2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,C:/Users/megwa/Desktop/Videos-FPlaybackData/06262021/Playback_F2.MP4,,,,,,,
,,,,,,,,
Observation date,2021-11-12 13:56:47,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
417.885,C:/Users/megwa/Desktop/Videos-FPlaybackData/06262021/Playback_F2.MP4,603.100,29.97,,Attend to left side,,,STOP
575.876,C:/Users/megwa/Desktop/Videos-FPlaybackData/06262021/Playback_F2.MP4,603.100,29.97,,Attend to right side,,,START
576.877,C:/Users/megwa/Desktop/Videos-FPlaybackData/06262021/Playback_F2.MP4,603.100,29.97,,Nose Poke right,,,START
577.344,C:/Users/megwa/Desktop/Videos-FPlaybackData/06262021/Playback_F2.MP4,603.100,29.97,,Nose Poke right,,,STOP
582.416,C:/Users/megwa/Desktop/Videos-FPlaybackData/06262021/Playback_F2.MP4,603.100,29.97,,Nose Poke right,,,START
583.350,C:/Users/megwa/Desktop/Videos-FPlaybackData/06262021/Playback_F2.MP4,603.100,29.97,,Nose Poke right,,,STOP
584.484,C:/Users/megwa/Desktop/Videos-FPlaybackData/06262021/Playback_F2.MP4,603.100,29.97,,Nose Poke right,,,START
589.590,C:/Users/megwa/Desktop/Videos-FPlaybackData/06262021/Playback_F2.MP4,603.100,29.97,,Nose Poke right,,,STOP
593.493,C:/Users/megwa/Desktop/Videos-FPlaybackData/06262021/Playback_F2.MP4,603.100,29.97,,Attend to right side,,,STOP
594.394,C:/Users/megwa/Desktop/Videos-FPlaybackData/06262021/Playback_F2.MP4,603.100,29.97,,Attend to right side,,,START
596.330,C:/Users/megwa/Desktop/Videos-FPlaybackData/06262021/Playback_F2.MP4,603.100,29.97,,Wall Touch left,,,START
596.997,C:/Users/megwa/Desktop/Videos-FPlaybackData/06262021/Playback_F2.MP4,603.100,29.97,,Wall Touch left,,,STOP
597.598,C:/Users/megwa/Desktop/Videos-FPlaybackData/06262021/Playback_F2.MP4,603.100,29.97,,Attend to right side,,,STOP
600.200,C:/Users/megwa/Desktop/Videos-FPlaybackData/06262021/Playback_F2.MP4,603.100,29.97,,Attend to right side,,,START
601.869,C:/Users/megwa/Desktop/Videos-FPlaybackData/06262021/Playback_F2.MP4,603.100,29.97,,Attend to right side,,,STOP
